Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
2653,23,Female,Shorts,Clothing,20,Maryland,L,Cyan,Summer,3.3,No,2-Day Shipping,No,No,46,Credit Card,Monthly
2654,67,Female,Blouse,Clothing,36,Wisconsin,L,Lavender,Fall,4.8,No,Express,No,No,24,Venmo,Every 3 Months
2655,23,Female,Coat,Outerwear,70,Idaho,S,Pink,Fall,4.1,No,Next Day Air,No,No,4,PayPal,Annually
2656,26,Female,Sunglasses,Accessories,83,Wyoming,M,Gray,Summer,3.4,No,Standard,No,No,2,Credit Card,Fortnightly
2657,52,Female,Shorts,Clothing,76,Indiana,L,Yellow,Winter,3.6,No,Express,No,No,29,Bank Transfer,Fortnightly
2658,52,Female,Dress,Clothing,81,Texas,M,Pink,Summer,2.7,No,Express,No,No,7,Credit Card,Fortnightly
2659,52,Female,Handbag,Accessories,47,Ohio,XL,Indigo,Summer,3.2,No,Next Day Air,No,No,39,PayPal,Monthly
2660,35,Female,Boots,Footwear,35,Kansas,L,Gray,Summer,4.4,No,2-Day Shipping,No,No,46,Credit Card,Fortnightly
2661,24,Female,Pants,Clothing,85,South Carolina,L,Yellow,Spring,4.9,No,Express,No,No,44,Venmo,Annually
2662,43,Female,Boots,Footwear,96,Michigan,XL,Olive,Fall,4.8,No,Express,No,No,20,Bank Transfer,Annually
2663,25,Female,Skirt,Clothing,98,Nebraska,M,Cyan,Summer,2.8,No,2-Day Shipping,No,No,44,PayPal,Fortnightly
2664,46,Female,Sneakers,Footwear,52,Wisconsin,L,Silver,Fall,2.9,No,Free Shipping,No,No,23,Bank Transfer,Annually
2665,22,Female,Jewelry,Accessories,84,Illinois,L,Silver,Winter,3.2,No,Store Pickup,No,No,37,PayPal,Weekly
2666,70,Female,T-shirt,Clothing,71,Louisiana,L,Red,Winter,3.5,No,Store Pickup,No,No,4,Venmo,Weekly
2667,49,Female,Sandals,Footwear,95,Ohio,S,Brown,Winter,4.1,No,Store Pickup,No,No,14,Venmo,Fortnightly
2668,48,Female,Boots,Footwear,47,Maryland,M,Orange,Summer,4.1,No,Free Shipping,No,No,31,Cash,Fortnightly
2669,59,Female,Coat,Outerwear,75,Texas,M,Black,Summer,4.8,No,Next Day Air,No,No,9,PayPal,Quarterly
2670,39,Female,Belt,Accessories,28,Illinois,L,Teal,Spring,2.8,No,Free Shipping,No,No,31,Credit Card,Weekly
